"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 00:00","2023","11","01","00:00","-4.3","","-8.2","","74","","0.0","","25","","8","","","","86.23","","","","-8","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 01:00","2023","11","01","01:00","-4.9","","-8.3","","77","","0.0","","26","","9","","","","86.23","","","","-9","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 02:00","2023","11","01","02:00","-5.7","","-8.7","","79","","0.0","","27","","8","","","","86.21","","","","-9","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 03:00","2023","11","01","03:00","-6.1","","-9.1","","80","","0.0","","25","","9","","","","86.18","","","","-10","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 04:00","2023","11","01","04:00","-6.4","","-9.4","","79","","0.0","","28","","7","","","","86.17","","","","-10","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 05:00","2023","11","01","05:00","-7.2","","-9.9","","81","","0.0","","27","","8","","","","86.15","","","","-11","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 06:00","2023","11","01","06:00","-6.3","","-9.2","","80","","0.0","","27","","9","","","","86.15","","","","-11","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 07:00","2023","11","01","07:00","-6.3","","-9.5","","79","","0.0","","25","","9","","","","86.11","","","","-11","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 08:00","2023","11","01","08:00","-6.1","","-9.4","","77","","0.0","","25","","12","","","","86.11","","","","-11","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 09:00","2023","11","01","09:00","-6.2","","-9.9","","75","","0.0","","24","","10","","","","86.15","","","","-11","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 10:00","2023","11","01","10:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 11:00","2023","11","01","11:00","-0.6","","-8.2","","56","","0.0","","22","","15","","","","86.06","","","","-5","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 12:00","2023","11","01","12:00","1.1","","-7.9","","51","","0.0","","23","","14","","","","86.00","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 13:00","2023","11","01","13:00","1.6","","-7.2","","52","","0.0","","22","","18","","","","85.91","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 14:00","2023","11","01","14:00","2.6","","-6.9","","49","","0.0","","23","","18","","","","85.86","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 15:00","2023","11","01","15:00","3.5","","-6.7","","47","","0.0","","23","","15","","","","85.85","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 16:00","2023","11","01","16:00","3.4","","-6.7","","48","","0.0","","22","","15","","","","85.83","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 17:00","2023","11","01","17:00","2.9","","-6.9","","48","","0.0","","23","","13","","","","85.82","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 18:00","2023","11","01","18:00","2.0","","-6.7","","52","","0.0","","23","","12","","","","85.81","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 19:00","2023","11","01","19:00","0.3","","-6.3","","61","","0.0","","22","","8","","","","85.85","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 20:00","2023","11","01","20:00","0.3","","-6.4","","60","","0.0","","24","","8","","","","85.84","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 21:00","2023","11","01","21:00","-0.3","","-6.3","","64","","0.0","","23","","6","","","","85.78","","","","-2","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 22:00","2023","11","01","22:00","-0.8","","-6.2","","67","","0.0","","23","","7","","","","85.76","","","","-3","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-01 23:00","2023","11","01","23:00","-0.6","","-6.2","","66","","0.0","","23","","12","","","","85.75","","","","-5","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 00:00","2023","11","02","00:00","-1.2","","-6.3","","68","","0.0","","24","","11","","","","85.70","","","","-5","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 01:00","2023","11","02","01:00","-1.4","","-6.4","","69","","0.0","","23","","13","","","","85.68","","","","-6","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 02:00","2023","11","02","02:00","-1.6","","-6.3","","70","","0.0","","21","","11","","","","85.62","","","","-5","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 03:00","2023","11","02","03:00","-1.5","","-6.2","","70","","0.0","","22","","11","","","","85.57","","","","-5","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 04:00","2023","11","02","04:00","-1.4","","-6.2","","70","","0.0","","23","","11","","","","85.52","","","","-5","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 05:00","2023","11","02","05:00","-1.2","","-6.1","","69","","0.0","","24","","12","","","","85.45","","","","-5","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 06:00","2023","11","02","06:00","-1.4","","-5.9","","71","","0.0","","24","","8","","","","85.42","","","","-4","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 07:00","2023","11","02","07:00","-1.3","","-5.9","","71","","0.0","","24","","8","","","","85.40","","","","-4","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 08:00","2023","11","02","08:00","-1.2","","-5.8","","71","","0.0","","22","","9","","","","85.41","","","","-4","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 09:00","2023","11","02","09:00","-1.9","","-3.7","","87","","0.1","","23","","8","","","","85.44","","","","-5","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 10:00","2023","11","02","10:00","-2.0","","-3.3","","91","","0.5","","23","","5","","","","85.43","","","","-4","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 11:00","2023","11","02","11:00","-1.8","","-2.7","","93","","1.0","","23","","9","","","","85.42","","","","-5","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 12:00","2023","11","02","12:00","-0.9","","-2.3","","91","","0.4","","23","","7","","","","85.38","","","","-3","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 13:00","2023","11","02","13:00","-0.3","","-1.8","","90","","0.0","","21","","6","","","","85.32","","","","-2","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 14:00","2023","11","02","14:00","0.1","","-1.6","","88","","0.0","","23","","3","","","","85.27","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 15:00","2023","11","02","15:00","0.8","","-1.9","","82","","0.0","","22","","3","","","","85.27","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 16:00","2023","11","02","16:00","0.8","","-1.2","","86","","0.0","","","","0","","","","85.30","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 17:00","2023","11","02","17:00","0.1","","-0.8","","94","","0.2","","20","","5","","","","85.29","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 18:00","2023","11","02","18:00","-0.1","","-0.7","","95","","0.1","","21","","6","","","","85.29","","","","-2","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 19:00","2023","11","02","19:00","-0.1","","-0.6","","96","","0.2","","23","","7","","","","85.34","","","","-3","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 20:00","2023","11","02","20:00","-0.1","","-0.7","","95","","0.2","","22","","12","","","","85.35","","","","-4","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 21:00","2023","11","02","21:00","-0.3","","-1.0","","95","","0.0","","25","","7","","","","85.33","","","","-3","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 22:00","2023","11","02","22:00","-0.1","","-1.1","","93","","0.0","","24","","9","","","","85.34","","","","-3","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-02 23:00","2023","11","02","23:00","0.2","","-1.2","","91","","0.0","","23","","13","","","","85.37","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 00:00","2023","11","03","00:00","-0.1","","-1.5","","90","","0.0","","23","","12","","","","85.37","","","","-4","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 01:00","2023","11","03","01:00","-0.1","","-1.5","","90","","0.0","","23","","11","","","","85.36","","","","-4","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 02:00","2023","11","03","02:00","0.1","","-1.3","","90","","0.0","","23","","15","","","","85.37","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 03:00","2023","11","03","03:00","0.8","","-1.1","","87","","0.0","","23","","12","","","","85.40","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 04:00","2023","11","03","04:00","0.6","","-1.0","","89","","0.0","","23","","9","","","","85.46","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 05:00","2023","11","03","05:00","0.8","","-0.9","","88","","0.0","","23","","12","","","","85.48","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 06:00","2023","11","03","06:00","0.7","","-0.9","","89","","0.0","","22","","9","","","","85.51","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 07:00","2023","11","03","07:00","0.4","","-1.0","","90","","0.0","","23","","12","","","","85.55","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 08:00","2023","11","03","08:00","0.6","","-0.9","","89","","0.0","","26","","11","","","","85.57","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 09:00","2023","11","03","09:00","0.9","","-0.8","","88","","0.0","","24","","11","","","","85.65","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 10:00","2023","11","03","10:00","1.5","","-0.6","","86","","0.0","","23","","11","","","","85.69","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 11:00","2023","11","03","11:00","3.2","","-0.3","","78","","0.0","","24","","11","","","","85.68","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 12:00","2023","11","03","12:00","3.8","","-0.1","","76","","0.0","","23","","12","","","","85.69","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 13:00","2023","11","03","13:00","5.1","","0.1","","70","","0.0","","22","","15","","","","85.68","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 14:00","2023","11","03","14:00","5.3","","0.0","","69","","0.0","","23","","15","","","","85.68","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 15:00","2023","11","03","15:00","5.4","","0.3","","70","","0.0","","23","","12","","","","85.72","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 16:00","2023","11","03","16:00","4.7","","0.5","","74","","0.0","","22","","12","","","","85.76","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 17:00","2023","11","03","17:00","3.8","","0.3","","78","","0.0","","24","","8","","","","85.81","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 18:00","2023","11","03","18:00","3.5","","0.3","","80","","0.0","","22","","9","","","","85.85","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 19:00","2023","11","03","19:00","3.3","","0.2","","80","","0.0","","24","","9","","","","85.85","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 20:00","2023","11","03","20:00","2.8","","0.1","","83","","0.0","","23","","8","","","","85.83","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 21:00","2023","11","03","21:00","2.8","","0.0","","82","","0.0","","23","","8","","","","85.88","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 22:00","2023","11","03","22:00","2.9","","-0.2","","80","","0.0","","23","","10","","","","85.92","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-03 23:00","2023","11","03","23:00","2.3","","-0.3","","83","","0.0","","24","","7","","","","85.91","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 00:00","2023","11","04","00:00","1.8","","-0.4","","85","","0.0","","24","","8","","","","85.86","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 01:00","2023","11","04","01:00","1.7","","-0.4","","86","","0.0","","24","","9","","","","85.80","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 02:00","2023","11","04","02:00","1.2","","-0.6","","88","","0.0","","24","","10","","","","85.74","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 03:00","2023","11","04","03:00","1.8","","-0.6","","84","","0.0","","25","","8","","","","85.67","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 04:00","2023","11","04","04:00","2.0","","-0.5","","84","","0.0","","23","","8","","","","85.61","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 05:00","2023","11","04","05:00","1.5","","-0.4","","88","","0.0","","24","","10","","","","85.60","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 06:00","2023","11","04","06:00","1.1","","0.2","","94","","0.1","","22","","10","","","","85.53","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 07:00","2023","11","04","07:00","0.9","","0.1","","95","","0.1","","22","","10","","","","85.40","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 08:00","2023","11","04","08:00","1.3","","0.1","","92","","0.0","","23","","8","","","","85.32","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 09:00","2023","11","04","09:00","2.3","","0.2","","86","","0.0","","22","","16","","","","85.24","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 10:00","2023","11","04","10:00","3.2","","-0.1","","79","","0.0","","22","","15","","","","85.15","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 11:00","2023","11","04","11:00","4.2","","0.1","","75","","0.0","","23","","15","","","","85.08","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 12:00","2023","11","04","12:00","5.5","","0.7","","71","","0.0","","23","","16","","","","84.99","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 13:00","2023","11","04","13:00","6.4","","1.1","","69","","0.0","","23","","17","","","","84.93","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 14:00","2023","11","04","14:00","6.3","","1.0","","69","","0.0","","23","","15","","","","84.88","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 15:00","2023","11","04","15:00","5.3","","1.2","","74","","0.0","","23","","17","","","","84.86","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 16:00","2023","11","04","16:00","4.6","","1.1","","78","","0.0","","23","","17","","","","84.89","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 17:00","2023","11","04","17:00","4.1","","1.0","","80","","0.0","","24","","14","","","","84.88","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 18:00","2023","11","04","18:00","3.5","","0.9","","84","","0.0","","22","","18","","","","84.85","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 19:00","2023","11","04","19:00","3.4","","0.8","","83","","0.0","","23","","16","","","","84.79","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 20:00","2023","11","04","20:00","3.4","","1.0","","84","","0.0","","22","","16","","","","84.78","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 21:00","2023","11","04","21:00","3.1","","0.8","","85","","0.0","","23","","9","","","","84.77","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 22:00","2023","11","04","22:00","3.2","","0.9","","85","","0.0","","23","","16","","","","84.77","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-04 23:00","2023","11","04","23:00","3.0","","0.9","","86","","0.0","","23","","16","","","","84.73","","","","","","NA"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 00:00","2023","11","05","00:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 01:00","2023","11","05","01:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 02:00","2023","11","05","02:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 03:00","2023","11","05","03:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 04:00","2023","11","05","04:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 05:00","2023","11","05","05:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 06:00","2023","11","05","06:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 07:00","2023","11","05","07:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 08:00","2023","11","05","08:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 09:00","2023","11","05","09:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 10:00","2023","11","05","10:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 11:00","2023","11","05","11:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 12:00","2023","11","05","12:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 13:00","2023","11","05","13:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 14:00","2023","11","05","14:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 15:00","2023","11","05","15:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 16:00","2023","11","05","16:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 17:00","2023","11","05","17:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 18:00","2023","11","05","18:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 19:00","2023","11","05","19:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 20:00","2023","11","05","20:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 21:00","2023","11","05","21:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 22:00","2023","11","05","22:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-05 23:00","2023","11","05","23:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 00:00","2023","11","06","00:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 01:00","2023","11","06","01:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 02:00","2023","11","06","02:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 03:00","2023","11","06","03:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 04:00","2023","11","06","04:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 05:00","2023","11","06","05:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 06:00","2023","11","06","06:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 07:00","2023","11","06","07:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 08:00","2023","11","06","08:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 09:00","2023","11","06","09:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 10:00","2023","11","06","10:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 11:00","2023","11","06","11:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 12:00","2023","11","06","12:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 13:00","2023","11","06","13:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 14:00","2023","11","06","14:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 15:00","2023","11","06","15:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 16:00","2023","11","06","16:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 17:00","2023","11","06","17:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 18:00","2023","11","06","18:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 19:00","2023","11","06","19:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 20:00","2023","11","06","20:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 21:00","2023","11","06","21:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 22:00","2023","11","06","22:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-06 23:00","2023","11","06","23:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 00:00","2023","11","07","00:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 01:00","2023","11","07","01:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 02:00","2023","11","07","02:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 03:00","2023","11","07","03:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 04:00","2023","11","07","04:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 05:00","2023","11","07","05:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 06:00","2023","11","07","06:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 07:00","2023","11","07","07:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 08:00","2023","11","07","08:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 09:00","2023","11","07","09:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 10:00","2023","11","07","10:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 11:00","2023","11","07","11:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 12:00","2023","11","07","12:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 13:00","2023","11","07","13:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 14:00","2023","11","07","14:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 15:00","2023","11","07","15:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 16:00","2023","11","07","16:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 17:00","2023","11","07","17:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 18:00","2023","11","07","18:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 19:00","2023","11","07","19:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 20:00","2023","11","07","20:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 21:00","2023","11","07","21:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 22:00","2023","11","07","22:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-07 23:00","2023","11","07","23:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-08 00:00","2023","11","08","00:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-08 01:00","2023","11","08","01:00"
"-115.55","51.19","BANFF CS","3050519","2023-11-08 02:00","2023","11","08","02:00"
